societe|client_fac|client_liv|num_expedition|num_cde|nom_fichier|date
|20484|20484|80268629||BL_20484_20484_80268629_20250709_164833.pdf|
|20484|20484|80268780||BL_20484_20484_80268780_20250710_151627.pdf|
|20484|20484|80270944||BL_20484_20484_80270944_20250728_150510.pdf|
|20484|20484|80271167||BL_20484_20484_80271167_20250730_153250.pdf|
|20484|20484|80273212||BL_20484_20484_80273212_20250902_170510.pdf|
|20484|20484|80273463||BL_20484_20484_80273463_20250903_151730.pdf|
|20484|20484|80274284||BL_20484_20484_80274284_20250909_163715.pdf|
|20484|20484|80277206||BL_20484_20484_80277206_20250929_165725.pdf|
|20484|20484|80278609||BL_20484_20484_80278609_20251009_160845.pdf|
|20484|20484|80278703||BL_20484_20484_80278703_20251013_151644.pdf|
|20484|20484|80280574||BL_20484_20484_80280574_20251020_164021.pdf|
|20484|20484|80283017||BL_20484_20484_80283017_20251105_160438.pdf|
|20484|20484|80283677||BL_20484_20484_80283677_20251113_151958.pdf|
|20485|20485|80269818||BL_20485_20485_80269818_20250721_153130.pdf|
|20485|20485|80275622||BL_20485_20485_80275622_20250919_165702.pdf|
|20485|20485|80278280||BL_20485_20485_80278280_20251007_160922.pdf|
|20485|20485|80283544||BL_20485_20485_80283544_20251113_154939.pdf|
|20489|20489|80273324||BL_20489_20489_80273324_20250903_155730.pdf|
|20489|20489|80276895||BL_20489_20489_80276895_20250929_171119.pdf|
|20490|20490|80274711||BL_20490_20490_80274711_20250912_160245.pdf|
|20490|20490|80277005||BL_20490_20490_80277005_20250929_165126.pdf|
|20490|20490|80280297||BL_20490_20490_80280297_20251020_163320.pdf|
|20490|20490|80280899||BL_20490_20490_80280899_20251022_155325.pdf|
|20490|20490|80282388||BL_20490_20490_80282388_20251030_160025.pdf|
|20491|20491|80269343||BL_20491_20491_80269343_20250716_151801.pdf|
|20491|20491|80276770||BL_20491_20491_80276770_20250926_150424.pdf|
|20491|20491|80278109||BL_20491_20491_80278109_20251006_161346.pdf|
|20491|20491|80283528||BL_20491_20491_80283528_20251113_154700.pdf|
|20492|20492|80268415||BL_20492_20492_80268415_20250708_170612.pdf|
|20492|20492|80275925||BL_20492_20492_80275925_20250923_162344.pdf|
|20492|20492|80276526||BL_20492_20492_80276526_20250925_161905.pdf|
|20492|20492|80277163||BL_20492_20492_80277163_20250929_165509.pdf|
|20492|20492|80278331||BL_20492_20492_80278331_20251007_160846.pdf|
|20492|20492|80278332||BL_20492_20492_80278332_20251007_160835.pdf|
|20492|20492|80278886||BL_20492_20492_80278886_20251014_164814.pdf|
|20492|20492|80278887||BL_20492_20492_80278887_20251014_164812.pdf|
|20492|20492|80279451||BL_20492_20492_80279451_20251015_160134.pdf|
|20492|20492|80281408||BL_20492_20492_80281408_20251024_170450.pdf|
|20492|20492|80281701||BL_20492_20492_80281701_20251028_163318.pdf|
