code_institut|ANNEE|MOIS|CODE_INDICATEUR|LIBELLE_INDICATEUR|VALEUR|MOYENNE|QUARTILE_SUP
50443|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|12|27,65|34,25
50443|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|238|189,66|238,75
50443|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|24,6192723962921|26,78|31
50443|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|11,0549019014889|24,98|30,74
50811|2018|5|400_CA_CABINE|CA CABINE|5967,58|9490,1|13734,12
50811|2018|5|200_PANIER_MOYEN|PANIER MOYEN|51,7551948051948|49,07|58,12
50811|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|2983,79|4557,83|4722,99
50811|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|1278,5|2354,7|3311,54
50811|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|14|27,65|34,25
50811|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|111,5|189,66|238,75
50811|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|25,1272850457323|26,78|31
50811|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|21,4240948592227|24,98|30,74
50869|2018|5|400_CA_CABINE|CA CABINE|5135,07|9490,1|13734,12
50869|2018|5|200_PANIER_MOYEN|PANIER MOYEN|63,5244444444444|49,07|58,12
50869|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|2567,535|4557,83|4722,99
50869|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|1529,43|2354,7|3311,54
50869|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|19|27,65|34,25
50869|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|86|189,66|238,75
50869|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|30,909293952392|26,78|31
50869|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|29,7840146288171|24,98|30,74
51019|2018|5|400_CA_CABINE|CA CABINE|13978,01|9490,1|13734,12
51019|2018|5|200_PANIER_MOYEN|PANIER MOYEN|59,7184236453202|49,07|58,12
51019|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|13978,01|4557,83|4722,99
51019|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|2893,41|2354,7|3311,54
51019|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|29|27,65|34,25
51019|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|571|189,66|238,75
51019|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|42,3484513529833|26,78|31
51019|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|20,6997276436345|24,98|30,74
51059|2018|5|400_CA_CABINE|CA CABINE|22071,41|9490,1|13734,12
51059|2018|5|200_PANIER_MOYEN|PANIER MOYEN|69,3876346604215|49,07|58,12
51059|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|11035,705|4557,83|4722,99
51059|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|4747,61|2354,7|3311,54
51059|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|35|27,65|34,25
51059|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|299,5|189,66|238,75
51059|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|25,5062014572446|26,78|31
51059|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|21,5102252189597|24,98|30,74
51604|2018|5|400_CA_CABINE|CA CABINE|18541,81|9490,1|13734,12
51604|2018|5|200_PANIER_MOYEN|PANIER MOYEN|50,3301993355482|49,07|58,12
51604|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|4635,4525|4557,83|4722,99
51604|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|6359,97|2354,7|3311,54
51604|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|34|27,65|34,25
51604|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|187,25|189,66|238,75
51604|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|38,8034435709953|26,78|31
51604|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|34,3006966418057|24,98|30,74
51701|2018|5|400_CA_CABINE|CA CABINE|8599,06|8079,37|8866,76
51701|2018|5|200_PANIER_MOYEN|PANIER MOYEN|49,8565762711864|45,7|55,26
51701|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|2866,35333333333|3193,77|4433,38
51701|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|2098,35|1642,54|2260,35
51701|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|46|28,7|29
51701|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|126,333333333333|150,13|174,75
51701|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|41,5335786925071|28,04|31,66
51701|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|24,4020858093792|20,49|25,46
51774|2018|5|400_CA_CABINE|CA CABINE|7819,16|9490,1|13734,12
51774|2018|5|200_PANIER_MOYEN|PANIER MOYEN|46,7585915492958|49,07|58,12
51774|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|0|4557,83|4722,99
51774|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|1848,98|2354,7|3311,54
51774|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|28|27,65|34,25
51774|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|0|189,66|238,75
51774|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|21,491066892379|26,78|31
51774|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|23,6467855882218|24,98|30,74
52790|2018|5|400_CA_CABINE|CA CABINE|8243,09|9490,1|13734,12
52790|2018|5|200_PANIER_MOYEN|PANIER MOYEN|53,5403825136612|49,07|58,12
52790|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|4121,545|4557,83|4722,99
52790|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|3271,61|2354,7|3311,54
52790|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|31|27,65|34,25
52790|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|133,5|189,66|238,75
52790|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|15,8687227556137|26,78|31
52790|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|39,6891214338312|24,98|30,74
52981|2018|5|400_CA_CABINE|CA CABINE|3553,3|9490,1|13734,12
52981|2018|5|200_PANIER_MOYEN|PANIER MOYEN|57,5067676767677|49,07|58,12
52981|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|0|4557,83|4722,99
52981|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|1440,67|2354,7|3311,54
52981|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|38|27,65|34,25
52981|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|0|189,66|238,75
52981|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|37,5866169462707|26,78|31
52981|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|40,5445642079194|24,98|30,74
53032|2018|5|400_CA_CABINE|CA CABINE|17292,18|8079,37|8866,76
53032|2018|5|200_PANIER_MOYEN|PANIER MOYEN|46,9435135135135|45,7|55,26
53032|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|0|3193,77|4433,38
53032|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|2301,06|1642,54|2260,35
53032|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|19|28,7|29
53032|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|0|150,13|174,75
53032|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|23,417581088963|28,04|31,66
53032|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|13,306939900001|20,49|25,46
53068|2018|5|400_CA_CABINE|CA CABINE|3946,24|9490,1|13734,12
53068|2018|5|200_PANIER_MOYEN|PANIER MOYEN|37,8934640522876|49,07|58,12
53068|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|3946,24|4557,83|4722,99
53068|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|1085,4|2354,7|3311,54
53068|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|22|27,65|34,25
53068|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|156|189,66|238,75
53068|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|31,9343877744623|26,78|31
53068|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|27,5046626662342|24,98|30,74
53161|2018|5|400_CA_CABINE|CA CABINE|7267,12|8079,37|8866,76
53161|2018|5|200_PANIER_MOYEN|PANIER MOYEN|53,1853645833333|45,7|55,26
53161|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|3633,56|3193,77|4433,38
53161|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|2018,64|1642,54|2260,35
53161|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|22|28,7|29
53161|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|147,5|150,13|174,75
53161|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|28,8345889327715|28,04|31,66
53161|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|27,7777166195136|20,49|25,46
53270|2018|5|400_CA_CABINE|CA CABINE|3762|8079,37|8866,76
53270|2018|5|200_PANIER_MOYEN|PANIER MOYEN|28,9171270718232|45,7|55,26
53270|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|0|3193,77|4433,38
53270|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|656|1642,54|2260,35
