code_client_facture|code_client_livre|enseigne|adresse1|adresse2|cp|ville|statut
PY26124|PY26124|INSTITUT BOREALIS|25 RUE JEAN JAURES||42300|ROANNE|0
PY25129|PY25129|EN CORPS ZEN|260 RUE DES BOURRELIERS|PARC D ACTIVITE D HALLENNES|59320|HALLENNES LEZ HAUBOURDIN|0
PY20367|PY20008|INSTITUT FLEUR DE PEAU|9 RUE SAINT JEAN||65000|TARBES|0
PY22980|PY22980|SOLEIL D ETE|20 PLACE MENDES FRANCE||59800|LILLE|0
PY20916|PY20916|INSTITUT PHEBEE|65 AVENUE DU CARREAU||69330|MEYZIEU|0
PY22536|PY22536|ADELINE ESTHETIQUE|32 RUE DE LA POSTE||69220|BELLEVILLE|0
PY22689|PY22689|AMBIANCE BEAUTE|44 AVENUE DU ROUSSILLON||66750|ST CYPRIEN|0
PY23697|PY23697|CLEO ESTHETIQUE|10 RUE DES PIQUES||57000|METZ|0
PY22831|PY22831|ANNE CHARLOTTE INSTITUT|1 ROUTE DE NANTES||85290|MORTAGNE SUR SEVRE|0
PY21696|PY21696|INSTITUT DE BEAUTE BY LAURIANE|12 RUE THIERS||45500|GIEN|0
PY23337|PY25202|LE BOUDOIR DES FILLES|36 LE COURREAU||26130|ST PAUL TROIS CHATEAUX|0
PY23139|PY23139|BEAUTY CENTER|211 RUE PAUL VAILLANT COUTURIER||94140|ALFORTVILLE|0
PY25944|PY25944|INSTITUT GUINOT|3 RUE DE LONGJUMEAU||91300|MASSY|0
PY21803|PY21803|BEAUTY AND CO|4 GRANDE RUE||42410|CHAVANAY|0
PY21882|PY21882|INSTITUT MARY COHR|46 AVENUE VICTOR CRESSON||92130|ISSY LES MOULINEAUX|0
PY20781|PY20781|LAURENCE INSTITUT|52 RUE DE FRANCHEPRE||54240|JOEUF|0
PY25721|PY25722|INSTITUT BELLE ET ZEN|10 RUE VOLTAIRE||34200|SETE|0
PY25860|PY25860|LE COCON D IRINA|390 RUE DE BORDEAUX||16000|ANGOULEME|0
